"","country_name","covid_deaths","expected_deaths"
"128","Mexico",177,14478.0839887633
"129","Mexico",214,14323.8839887633
"130","Mexico",172,14523.6839887633
"131","Mexico",208,14314.8839887633
"132","Mexico",297,14441.6839887633
"133","Mexico",419,14440.8839887633
"134","Mexico",585,14556.8839887633
"135","Mexico",436,14613.0839887633
"136","Mexico",795,14688.4839887633
"137","Mexico",412,14412.2839887633
"138","Mexico",139,14471.6839887633
"139","Mexico",519,14297.2839887633
"140","Mexico",232,14233.2839887633
"141","Mexico",140,14354.2839887633
"142","Mexico",134,14540.8839887633
"143","Mexico",148,14699.8839887633
"144","Mexico",88,14427.0839887633
"145","Mexico",77,14743.4839887633
"146","Mexico",69,14728.4839887633
"147","Mexico",54,14802.4839887633
"148","Mexico",45,14866.4839887633
"149","Mexico",48,15100.0839887633
"150","Mexico",24,15110.8839887633
"151","Mexico",14,15288.8839887633
"152","Mexico",51,15828.4839887633
"153","Mexico",30,15658.2839887633
"154","Mexico",142,15753.2839887633
"155","Mexico",128,16408.4839887633
"156","Mexico",218,16442.2839887633
"157","Mexico",92,17306.4839887633
